date,home,away,home_goals,away_goals
2018-10-06,Alaves,Real Madrid,1,0
2018-10-07,Valladolid,Huesca,1,0
2018-10-07,Espanol,Villarreal,3,1
2018-10-07,Sevilla,Celta,2,1
2018-10-07,Valencia,Barcelona,1,1
2018-10-07,Atletico de Madrid,Betis,1,0
2018-10-19,Celta,Alaves,0,1
2018-10-20,Valencia,Leganes,1,1
2018-10-20,Villarreal,Atletico de Madrid,1,1
2018-10-20,Barcelona,Sevilla,4,2
2018-10-20,Real Madrid,Levante,1,2
2018-10-21,Rayo Vallecano,Getafe,1,2
2018-10-21,Betis,Valladolid,0,1
2018-10-21,Eibar,Atletico de Bilbao,1,1
2018-10-21,Huesca,Espanol,0,2
2018-10-22,Real Sociedad,Girona,0,0
2018-10-24,Rayo Vallecano,Atletico de Bilbao,1,1
2018-10-26,Valladolid,Espanol,1,1
2018-10-27,Atletico de Bilbao,Valencia,0,0
2018-10-27,Girona,Rayo Vallecano,2,1
2018-10-27,Atletico de Madrid,Real Sociedad,2,0
2018-10-27,Celta,Eibar,4,0
2018-10-27,Levante,Leganes,2,0
2018-10-28,Sevilla,Huesca,2,1
2018-10-28,Getafe,Betis,2,0
2018-10-28,Alaves,Villarreal,2,1
2018-10-28,Barcelona,Real Madrid,5,1
2018-11-03,Real Madrid,Valladolid,2,0
2018-11-03,Rayo Vallecano,Barcelona,2,3
2018-11-03,Leganes,Atletico de Madrid,1,1
2018-11-03,Valencia,Girona,0,1
2018-11-04,Huesca,Getafe,1,1
2018-11-04,Villarreal,Levante,1,1
2018-11-04,Betis,Celta,3,3
2018-11-04,Real Sociedad,Sevilla,0,0
2018-11-04,Eibar,Alaves,2,1
2018-11-05,Espanol,Atletico de Bilbao,1,0
2018-11-09,Levante,Real Sociedad,1,3
2018-11-10,Getafe,Valencia,0,1
2018-11-10,Valladolid,Eibar,0,0
2018-11-10,Atletico de Madrid,Atletico de Bilbao,3,2
2018-11-10,Girona,Leganes,0,0
2018-11-11,Barcelona,Betis,3,4
2018-11-11,Celta,Real Madrid,2,4
2018-11-11,Rayo Vallecano,Villarreal,2,2
2018-11-11,Sevilla,Espanol,2,1
2018-11-11,Alaves,Huesca,2,1
2018-11-23,Leganes,Alaves,1,0
2018-11-24,Valencia,Rayo Vallecano,3,0
2018-11-24,Huesca,Levante,2,2
2018-11-24,Eibar,Real Madrid,3,0
2018-11-24,Atletico de Madrid,Barcelona,1,1
2018-11-25,Sevilla,Valladolid,1,0
2018-11-25,Espanol,Girona,1,3
2018-11-25,Atletico de Bilbao,Getafe,1,1
2018-11-25,Villarreal,Betis,2,1
2018-11-26,Real Sociedad,Celta,2,1
2018-11-30,Rayo Vallecano,Eibar,1,0
2018-12-01,Celta,Huesca,2,0
2018-12-01,Getafe,Espanol,3,0
2018-12-01,Valladolid,Leganes,2,4
2018-12-01,Real Madrid,Valencia,2,0
2018-12-02,Betis,Real Sociedad,1,0
2018-12-02,Alaves,Sevilla,1,1
2018-12-02,Barcelona,Villarreal,2,0
2018-12-02,Girona,Atletico de Madrid,1,1
2018-12-03,Levante,Atletico de Bilbao,3,0
2018-12-07,Leganes,Getafe,1,1
2018-12-08,Atletico de Madrid,Alaves,3,0
2018-12-08,Villarreal,Celta,2,3
2018-12-08,Espanol,Barcelona,0,4
2018-12-08,Valencia,Sevilla,1,1
2018-12-09,Real Sociedad,Valladolid,1,2
2018-12-09,Eibar,Levante,4,4
2018-12-09,Betis,Rayo Vallecano,2,0
2018-12-09,Huesca,Real Madrid,0,1
2018-12-10,Atletico de Bilbao,Girona,1,0
2018-12-14,Celta,Leganes,0,0
2018-12-15,Eibar,Valencia,1,1
2018-12-15,Getafe,Real Sociedad,1,0
2018-12-15,Valladolid,Atletico de Madrid,2,3
2018-12-15,Real Madrid,Rayo Vallecano,1,0
2018-12-16,Levante,Barcelona,0,5
2018-12-16,Espanol,Betis,1,3
2018-12-16,Sevilla,Girona,2,0
2018-12-16,Huesca,Villarreal,2,2
2018-12-17,Alaves,Atletico de Bilbao,0,0
2018-12-21,Real Sociedad,Alaves,0,1
2018-12-21,Girona,Getafe,1,1
2018-12-22,Atletico de Bilbao,Valladolid,1,1
2018-12-22,Barcelona,Celta,2,0
2018-12-22,Atletico de Madrid,Espanol,1,0
2018-12-22,Betis,Eibar,1,1
2018-12-23,Leganes,Sevilla,1,1
2018-12-23,Valencia,Huesca,2,1
2018-12-23,Rayo Vallecano,Levante,2,1
2019-01-03,Villarreal,Real Madrid,2,2
2019-01-04,Levante,Girona,2,2
2019-01-04,Espanol,Leganes,1,0
2019-01-05,Huesca,Betis,2,1
2019-01-05,Valladolid,Rayo Vallecano,0,1
2019-01-05,Alaves,Valencia,2,1
2019-01-06,Sevilla,Atletico de Madrid,1,1
2019-01-06,Getafe,Barcelona,1,2
2019-01-06,Real Madrid,Real Sociedad,0,2
2019-01-06,Eibar,Villarreal,0,0
2019-01-07,Celta,Atletico de Bilbao,1,2
2019-01-11,Rayo Vallecano,Celta,4,2
2019-01-12,Leganes,Huesca,1,0
2019-01-12,Valencia,Valladolid,1,1
2019-01-12,Villarreal,Getafe,1,2
2019-01-12,Girona,Alaves,1,1
2019-01-13,Atletico de Madrid,Levante,1,0
2019-01-13,Barcelona,Eibar,3,0
2019-01-13,Atletico de Bilbao,Sevilla,2,0
2019-01-13,Betis,Real Madrid,1,2
2019-01-14,Real Sociedad,Espanol,3,2
2019-01-18,Getafe,Alaves,4,0
2019-01-19,Real Madrid,Sevilla,2,0
2019-01-19,Celta,Valencia,1,2
2019-01-19,Huesca,Atletico de Madrid,0,3
2019-01-20,Villarreal,Atletico de Bilbao,1,1
2019-01-20,Levante,Valladolid,2,0
2019-01-20,Betis,Girona,3,2
2019-01-20,Rayo Vallecano,Real Sociedad,2,2
